"","name","label"
"1","HHIDPN","HHID + PN (numeric)"
"2","BIRTHYF","HRS04: BIRTHYF-flag birth yr discrepancy"
"3","BIRTHYD","HRS04: BIRTHYD-max birth yr discrepancy"
"4","JCSR01","JCSR01:WHETHER CSR 2004(0=NO/1=YES)"
"5","JN.INHH","JN_INHH: # R's responding in hhold"
"6","JANYFINR","JANYFINR: Any FinResp in HHold (>0=yes)"
"7","JFIN.RHP","JFIN_RHP: HHIDPN of Financial Resp"
"8","JFINR01","JFINR01:WHETHER FINR 2004(0=NO/1=YES)"
"9","JNOFINR","JNOFINR: Flags HHs w/no fin data(0=some)"
"10","JANYFAMR","JANYFAMR: Any FamResp in HHold"
"11","JFAM.RHP","JFAM_RHP: HHIDPN of Family Resp"
"12","JFAMR01","JFAMR01:WHETHER FAMR 2004(0=NO/1=YES)"
"13","JNOFAMR","JNOFAMR: Flags HHs w/no fam data(0=some)"
"14","BIRTHMO","Birthdate: Month"
"15","BIRTHYR","Birthdate: Year"
"16","DEGREE","Highest Degree of Education"
"17","FIRSTIW","First Interview: Study Year"
"18","GENDER","Gender"
"19","HISPANIC","Hispanic Type"
"20","IMMGYEAR","Year Immigrated to the U.S."
"21","OVHHIDC","HRS-AHEAD Overlap: Old HRS HHID (Char6)"
"22","OVPNC","HRS-AHEAD Overlap: Old HRS PN (Char3)"
"23","OVRESULT","Overlap Case: Result Code"
"24","RACE","Race/Ethnicity"
"25","SCHLYRS","Number of Years in School"
"26","SECU","Sampling Error Computation Unit"
"27","STRATUM","Stratum ID"
"28","STUDY","Study Membership"
"29","USBORN","Born in the U.S."
"30","WTCOHORT","Birth Cohort Used for Creating Weights"
"31","JCORES","2004 Co-Residence Status"
"32","JIWLANG","2004 Interview Language"
"33","JIWMODE","2004 Interview Mode"
"34","JIWMONTH","2004 Interview Month"
"35","JIWYEAR","2004 Interview Year"
"36","JMARST","JMARST: 2004 Marital Status /from trk2004"
"37","JNURSHM","2004 Nursing Home Status"
"38","JPPN","2004 Spouse-Partner Person Number"
"39","JPROXY","2004 Proxy Type Status"
"40","JSUBHHIW","2004 Whether SUBHH Interviewed"
"41","JWHY0HWT","2004 Why Zero Household Level Weight"
"42","JWHY0RWT","2004 Why Zero Respondent Level Weight"
"43","OVHHPNC","HRS-AHEAD Overlap:Old HRS HHIDPN (Char9)"
"44","OVHHID","HRS-AHEAD Overlap: Old HRS HHID (Num)"
"45","OVHHIDPN","HRS-AHEAD Overlap: Old HRS HHIDPN (Num)"
"46","OVPN","HRS-AHEAD Overlap: Old HRS PN (Num)"
"47","JWGTHH","2004 Weight: Household Level"
"48","JWGTR","2004 Weight: Respondent Level"
"49","JPNHM","HRS 04: =1 if Sp/P in nursing home"
"50","JMARSTD","JMARSTD: derived marital status w/o partners"
"51","JMARSTF","HRS 04: JMARST Flag (discrepancies)"
"52","JMARSTA","HRS 04: Alt. JMARST (derived MARST)"
"53","JMARSTP","HRS 04: Marital Status (w/ partnered)"
"54","JPARTNR","HRS 04: =1 if R is partnered"
"55","J.CPL","HRS 04: =1 if R is partnered/married"
"56","JNHM","HRS 04: =1 if R in nursing home"
"57","JHASNEWP","HRS 04: =1 if has new spouse/partner"
"58","JPHHIDPN","HRS 04: HHIDPN of spouse/partner"
"59","JCSRF","2004 WHETHER COVERSHEET RESPONDENT"
"60","JANYCSR","JANYCSR: Any CovSheetResp in HHold"
"61","JCS.RHP","JCS_RHP: HHIDPN of CovSheet Resp"
"62","JNOCSR","JNOCSR: Flags HHs w/no cs data(0=some)"
"63","JXMOD.EH","JXMOD_EH: No data in Module E_H (fam)"
"64","JXMOD.HH","JXMOD_HH: No data in Module H_H (fin)"
"65","JXMOD.QH","JXMOD_QH: No data in Module Q_H (fin)"
"66","JXMOD.RH","JXMOD_RH: No data in Module R_H (fin)"
"67","JXMOD.AH","JXMOD_AH: No data in Module A_H (cs)"
"68","J.HHTYP","HRS04: Household type (1R or 2R)    label"
"69","JR.INHH","HRS04: # potential R in hhold"
"70","JPROXYD","HRS04: Proxy flag (derived)"
"71","JPROXYR","HRS04 Proxy: Relationship to R"
"72","JPRVIW","HRS04: Previous Interview (A-H)"
"73","JPRVIWMO","Month of Previous Interview"
"74","JPRVIWYR","Year of Previous Interview"
"75","VBIRTHYR","HRS04: prev value BIRTHYR if changed"
"76","VGENDER","HRS04: prev value GENDER if changed"
"77","HISPAN01","HRS04: Whether Hispanic (0=no,1=yes)"
"78","GEND.R","HRS04: GEND_R-best guess R gender"
"79","JGENFLAG","HRS04: JGENFLAG-flag gender discrepancy"
"80","ELIGIBLE","ELIGIBLE: Cohort Eligibility"
"81","JSUBHHA.R","HRS 2004 SUB-HOUSEHOLD ID (Char)"
"82","JPN.SP","2004 SPOUSE/PARTNER PERSON NUMBER"
"83","JCSRA.R","2004 WHETHER COVERSHEET RESPONDENT"
"84","JFAMRA.R","2004 WHETHER FAMILY RESPONDENT"
"85","JFINRA.R","2004 WHETHER FINANCIAL RESPONDENT"
"86","JA500","DATE OF INTERVIEW - MONTH"
"87","JA501","DATE OF INTERVIEW - YEAR"
"88","JA061","LAST CALENDAR YR CALCULATED"
"89","JA062","TWO YEARS AGO"
"90","JA063","ELAPSED MONTHS FROM NOW TO TWO YRS AGO"
"91","JA064","NUM MO FROM PREV WAVE IW TO TWO YRS AGO"
"92","JA002","RESPONDENT AGREE TO INTERVIEW"
"93","JA009","PROXY/SELF INTERVIEW"
"94","JA010","CURRENT - WAVE PROXY"
"95","JA103","PROXY RELATIONSHIP TO R"
"96","JA011","PROXY IW COGNITIVE IMPAIRMENT RATING"
"97","JA012","SELECT LANGUAGE"
"98","JA019","R CURRENT AGE CALCULATION"
"99","JA028","R IN NURSING HOME"
"100","JA065","MONTH MOVED TO NH"
"101","JA066","YEAR MOVED TO NURS HOME"
"102","JA068M","REGION FACILITY LOCATED - MASKED"
"103","JVDATE","2004 DATA MODEL VERSION"
"104","JVERSION","2004 DATA RELEASE VERSION"
"105","HHIDA.R","Household ID (Numeric)"
"106","JHHIDNA.R","HRS 2004 HOUSEHOLD + SUBHH (Num)"
"107","PNA.R","Person Number (Numeric)"
"108","JSUBHHB.R","HRS 2004 SUB-HOUSEHOLD ID (Char)"
"109","JCSRB.R","2004 WHETHER COVERSHEET RESPONDENT"
"110","JFAMRB.R","2004 WHETHER FAMILY RESPONDENT"
"111","JFINRB.R","2004 WHETHER FINANCIAL RESPONDENT"
"112","JB001","INTRO-DEMOGRAPHICS"
"113","JB002","BORN IN US"
"114","JB003M","STATE BORN - MASKED"
"115","JB006","ARRIVE IN US-YEAR"
"116","JB007","ARRIVE IN US-YEARS AGO"
"117","JB008","ARRIVE IN US-AT AGE"
"118","JB009","EVER LEAVE US"
"119","JB010","RETURNED TO US-YEAR"
"120","JB011","RETURNED TO US-YEARS AGO"
"121","JB012","RETURNED TO US-AT AGE"
"122","JB013","NUMBER YEARS OUTSIDE OF US"
"123","JB014","R HIGHEST LEVEL OF EDUCATION"
"124","JB014A","R HIGHEST LEVEL OF EDUCATION-COMBINED"
"125","JB015","R EARN HIGH SCHOOL DIPLOMA/GED"
"126","JB016","R COLLEGE DEGREE"
"127","JB017M","R HIGHEST DEGREE - MASKED"
"128","JB019","RATE HEALTH AS CHILD"
"129","JB020","RATE FAMILY FINANCIAL SITUATION - SES"
"130","JB021","MOVE DUE TO FINANCIAL DIFFICULTY"
"131","JB022","FAMILY GET FINANCIAL HELP IN CHILDHOOD"
"132","JB023","FATHER UNEMPLOYED DURING CHILDHOOD"
"133","JB024M","FATHER USUAL OCCUPATION - MASKED"
"134","JB025","LIVE WITH GRANDPARENTS DURING CHILDHOOD"
"135","JB078","LIVE W/ MOTHER 6 MONTHS OR MORE AS ADULT"
"136","JB079","DID MOVE HELP YOU- YOUR MOTHER- OR BOTH"
"137","JB080","SIBS LIVE W/ MOTH 6 MO OR MORE AS ADULT"
"138","JB081","MOVE MADE TO HELP MOTHER-SIBLINGS-BOTH"
"139","JB026","FATHER EDUCATION- HIGHEST GRADE"
"140","JB027","MOTHER EDUCATION- HIGHEST GRADE"
"141","JB028","R HISPANIC/LATINO"
"142","JB028A","R HISPANIC/LATINO - COMBINED"
"143","JB029M1M","TYPE HISPANIC - MASKED -1"
"144","JB029M2M","TYPE HISPANIC - MASKED -2"
"145","JB029M3M","TYPE HISPANIC - MASKED -3"
"146","JB031M","R RACE - MASKED"
"147","JB031A","R RACE - MASKED-COMBINED"
"148","JB033","NUMBER CHILDREN EVER"
"149","JB034","NUMBER LIVING CHILDREN"
"150","JB035","R SERVED IN MILITARY"
"151","JB036","YEAR MILITARY BEGIN"
"152","JB037","YEAR MILITARY END"
"153","JB038","MILITARY RELATED DISABILITY"
"154","JB039","YEAR MOVED TO MAIN RESIDENCE"
"155","JB040","MONTH MOVED TO MAIN RESIDENCE"
"156","JB041M1","REASONS FOR MOVE-1"
"157","JB041M2","REASONS FOR MOVE-2"
"158","JB044","LIVE GEN AREA BEFORE"
"159","JB045","NUMBER YEARS LIVING IN AREA"
"160","JB046","SINCE YEAR LIVING IN MAIN AREA"
"161","JB047M","ST/COUNTRY LIVED DURING SCHOOL - MASKED"
"162","JB049","LIVED RURAL AREA DURING SCHOOL"
"163","JB050","R RELIGIOUS PREFERENCE"
"164","JB052M","DENOMINATION - MASKED"
"165","JB082","HOW OFTEN ATTEND RELIGIOUS SERV"
"166","JB053","IMPORTANCE OF RELIGION"
"167","JB054","ENGLISH USUALLY SPOKEN IN HOME"
"168","JB055","NEW MARRIAGE SINCE PREVIOUS WAVE"
"169","JB056","BETWEEN WAVE MARRIAGE START-MONTH"
"170","JB057","BETWEEN WAVE MARRIAGE START-YEAR"
"171","JB058","DIVORCE/WIDOW SINCE PREVIOUS WAVE"
"172","JB059","BETWEEN WAVE DIVORCE/WIDOW-MONTH"
"173","JB060","BETWEEN WAVE DIVORCE/WIDOW-YEAR"
"174","JB061","MARITAL STATUS IF UNMARRIED"
"175","JB065","NUMBER OF MARRIAGES"
"176","JB066.1","FIRST MARRIAGE YEAR BEGAN"
"177","JB067.1","FIRST MARRIAGE MONTH BEGAN"
"178","JB068.1","FIRST MARRIAGE END DIVORCE/WIDOW"
"179","JB070.1","FIRST MARRIAGE-YEARS MARRIAGE"
"180","JB066.2","SECOND MARRIAGE YEAR BEGAN"
"181","JB067.2","SECOND MARRIAGE MONTH BEGAN"
"182","JB068.2","SECOND MARRIAGE END DIVORCE/WIDOW"
"183","JB070.2","SECOND MARRIAGE-YEARS MARRIAGE"
"184","JB066.3","THIRD MARRIAGE YEAR BEGAN"
"185","JB067.3","THIRD MARRIAGE MONTH BEGAN"
"186","JB068.3","THIRD MARRIAGE END DIVORCE/WIDOW"
"187","JB070.3","THIRD MARRIAGE-YEARS MARRIAGE"
"188","JB066.4","MARRIAGE YEAR BEGAN -4"
"189","JB067.4","MARRIAGE MONTH BEGAN -4"
"190","JB068.4","MARRIAGE END DIVORCE/WIDOW -4"
"191","JB070.4","MARRIAGE-YEARS MARRIED -4"
"192","JB063","MARITAL STATUS ASSIGNED"
"193","JB076","ASSIST SECTION B-DEMOGRAPHICS"
"194","HHIDB.R","Household ID (Numeric)"
"195","JHHIDNB.R","HRS 2004 HOUSEHOLD + SUBHH (Num)"
"196","PNB.R","Person Number (Numeric)"
"197","JSUBHHC.R","HRS 2004 SUB-HOUSEHOLD ID (Char)"
"198","JCSRC.R","2004 WHETHER COVERSHEET RESPONDENT"
"199","JFAMRC.R","2004 WHETHER FAMILY RESPONDENT"
"200","JFINRC.R","2004 WHETHER FINANCIAL RESPONDENT"
"201","JC001","RATE HEALTH"
"202","JC185","DIFFERENT REPORTER FROM PREV IW"
"203","JC002","COMPARE HEALTH TO PREVIOUS WAVE"
"204","JC005","HIGH BLOOD PRESSURE"
"205","JC006","BLOOD PRESSURE MEDICATION"
"206","JC008","BLOOD PRESSURE UNDER CONTROL"
"207","JC009","HIGH BLOOD PRESSURE- WORSE/SAME"
"208","JC211","BLOOD PRESSURE CHECKED SINCE LAST IW"
"209","JC212","BLOOD PRESSURE CHECKED-YEAR"
"210","JC213","BLOOD PRESSURE CHECK- BF/AFTER LAST IW"
"211","JC010","DIABETES"
"212","JC214","YEAR DIABETES FIRST DIAGNOSED"
"213","JC011","SWALLOWED MEDICATION FOR DIABETES"
"214","JC012","TAKING INSULIN - DIABETES"
"215","JC015","DIABETES UNDER CONTROL"
"216","JC016","DIABETES BETTER/WORSE/SAME"
"217","JC017","KIDNEY TROUBLE DUE TO DIABETES"
"218","JC215","BLOOD TEST FOR BLOOD SUGAR"
"219","JC216","BLOOD TEST FOR BLOOD SUGAR- YEAR"
"220","JC217","BLOOD SUGAR TEST-BF/AFTER LAST IW"
"221","JC018","CANCER OF ANY KIND EXCLUDING SKIN"
"222","JC019","R SEEN DOC CONCERNING CANCER"
"223","JC231","BRANCHPOINT FOR C231Y"
"224","JC020","PAST CANCER TREATED"
"225","JC232","BRANCHPOINT FOR C232Y"
"226","JC021M1","CANCER TREATMENT-TYPE- 1"
"227","JC021M2","CANCER TREATMENT-TYPE- 2"
"228","JC021M3","CANCER TREATMENT-TYPE- 3"
"229","JC021M4","CANCER TREATMENT-TYPE- 4"
"230","JC023","CANCER BETTER/WORSE/SAME NOW"
"231","JC024","NEW CANCER EXCLUDING SKIN"
"232","JC028","YEAR RECENT CANCER"
"233","JC029","MONTH RECENT CANCER"
"234","JC030","LUNG DISEASE"
"235","JC031","LUNG DISEASE BETTER/WORSE/SAME"
"236","JC032","LUNG MEDICATION"
"237","JC033","LUNG OXYGEN"
"238","JC034","LUNG RESPIRATORY THERAPY"
"239","JC035","LUNG LIMIT ACTIVITY"
"240","JC036","HEART CONDITION"
"241","JC037","HEART MEDICATION"
"242","JC038","HAS R SEEN HEART DOCTOR"
"243","JC039","HEART BETTER/WORSE/SAME"
"244","JC040","HEART ATTACK"
"245","JC041","R SEEN DOCTOR FOR HEART ATTACK"
"246","JC042","HEART ATTACK MEDICATION"
"247","JC043","YR RECENT HEART ATTACK"
"248","JC044","MO RECENT HEART ATTACK"
"249","JC045","ANGINA"
"250","JC046","ANGINA MEDICATION"
"251","JC047","LIMIT ACTIVITIES DUE TO ANGINA"
"252","JC048","CONGESTIVE HEART FAILURE"
"253","JC049","HOSPITALIZED DUE TO HEART FAILURE"
"254","JC050","CONGESTIVE HEART FAILURE MEDICATION"
"255","JC051","HEART TREATMENT"
"256","JC052","HEART SURGERY"
"257","JC053","STROKE"
"258","JC054","R SEEN DOCTOR FOR STROKE"
"259","JC055","STROKE PROBLEMS"
"260","JC060","STROKE MEDICATION"
"261","JC061","STROKE THERAPY"
"262","JC062","ANOTHER STROKE SINCE PREVIOUS WAVE"
"263","JC064","MOST RECENT STROKE-YEAR"
"264","JC063","MOST RECENT STROKE-MONTH"
"265","JC065","EMOTIONAL/PSYCHIATRIC PROBLEMS"
"266","JC066","PSYCHIATRIC PROBLEMS BETTER/WORSE/SAME"
"267","JC067","PSYCHIATRIC TREATMENT"
"268","JC068","PSYCHIATRIC MEDICATION"
"269","JC069","MEMORY RELATED DISEASE"
"270","JC070","ARTHRITIS"
"271","JC071","ARTHRITIS BETTER/WORSE/SAME"
"272","JC072","R SEEN DOCTOR FOR ARTHRITIS"
"273","JC074","ARTHRITIS MEDICATION"
"274","JC075","ARTHRITIS LIMIT ACTIVITY"
"275","JC076","ARTHRITIS JOINT REPLACE"
"276","JC218","ARTHRITIS JOINT REPLACE- TYPE"
"277","JC077M1","WHICH JOINT- 1"
"278","JC077M2","WHICH JOINT- 2"
"279","JC077M3","WHICH JOINT- 3"
"280","JC077M4","WHICH JOINT - 4"
"281","JC219","ARTHRITIS TYPE- OSTEOARTHRITIS"
"282","JC220","ARTHRITIS TYPE- RHEUMATOID"
"283","JC221","ARTHRITIS TYPE- GOUT/LUPUS"
"284","JC222","ARTHRITIS TYPE- RELATED TO INJURY"
"285","JC079","FALLEN IN PAST TWO YEARS"
"286","JC080","NUMBER TIMES FALLEN"
"287","JC081","INJURY DUE TO FALL"
"288","JC082","BROKEN HIP"
"289","JC087","INCONTINENCE"
"290","JC088","INCONTINENCE # DAYS"
"291","JC089","INCONTINENCE 5 DAYS DK-1"
"292","JC090","INCONTINENCE 15 DAYS DK-2"
"293","JC091","LEAK URINE- AMOUNT"
"294","JC092","LEAK URINE - COUGHING"
"295","JC093","LEAK URINE - WITH URGE TO URINATE"
"296","JC095","RATE EYESIGHT"
"297","JC096","RATE DISTAL VISION"
"298","JC097","RATE NEAR VISION"
"299","JC098","CATARACT SURGERY"
"300","JC099","CATARACT SURGERY ON ONE OR BOTH EYES"
"301","JC100","CATARACT IMPLANT LENS"
"302","JC101","GLAUCOMA"
"303","JC102","WEAR HEARING AID"
"304","JC103","RATE HEARING"
"305","JC083","TROUBLE FALLING ASLEEP"
"306","JC084","TROUBLE WAKING UP DURING NIGHT"
"307","JC085","TROUBLE WAKING UP TOO EARLY"
"308","JC086","FEEL RESTED IN MORNING"
"309","JC104","TROUBLED WITH PAIN"
"310","JC105","DEGREE PAIN MOST OF TIME"
"311","JC106","DOES PAIN LIMIT ACTIVITIES"
"312","JC107","OTHER MEDICAL CONDITIONS"
"313","JC108M1M","OTHER MEDICAL CONDITIONS-SP-MASKED-1"
"314","JC108M2M","OTHER MEDICAL CONDITIONS-SP-MASKED-2"
"315","JC109","PREVENTATIVE FLU SHOT SINCE PREV WAVE"
"316","JC110","CHOLESTEROL TEST SINCE PREV WAVE"
"317","JC111","CHECK FOR BREAST LUMPS SINCE PREV WAVE"
"318","JC112","MAMMOGRAM/XRAY OF BREAST SINCE PREV WAVE"
"319","JC113","PAP SMEAR SINCE PREV WAVE"
"320","JC114","PROSTATE EXAM SINCE PREV WAVE"
"321","JC223","HOW OFTEN VIGOROUS ACTIVITY"
"322","JC224","HOW OFTEN MODERATE ACTIVITY"
"323","JC225","HOW OFTEN MILD ACTIVITY"
"324","JC116","EVER SMOKE"
"325","JC117","SMOKE CIGARETTES NOW"
"326","JC118","NUM CIGARETTES SMOKED PER DAY"
"327","JC119","NUM PACKS SMOKED PER DAY"
"328","JC120","AGE START SMOKING"
"329","JC121","YR STARTED SMOKING"
"330","JC122","YRS AGO STARTED SMOKING"
"331","JC123","NUM CIGS PER DAY-  WHEN SMOKED MOST"
"332","JC124","NUM PACKS PER DAY- WHEN SMOKED MOST"
"333","JC125","YRS AGO STOP SMOKING"
"334","JC126","YR STOP SMOKING"
"335","JC127","AGE STOP SMOKING"
"336","JC128","EVER DRINK ALCOHOL"
"337","JC129","NUMBER DAYS PER WEEK- DRINK ALCOHOL"
"338","JC130","NUMBER DRINKS- PER DAY"
"339","JC131","BINGE DRINKING"
