"","name","label"
"1","HHIDPN","HHID + PN (numeric)"
"2","BIRTHYF","HRS12: BIRTHYF-flag birth yr discrepancy"
"3","BIRTHYD","HRS12: BIRTHYD-max birth yr discrepancy"
"4","NCSR01","NCSR01:WHETHER CSR 2012 (0=NO/1=YES)"
"5","NFINR01","NFINR01:WHETHER FINR 2012 (0=NO/1=YES)"
"6","NFAMR01","NFAMR01:WHETHER FAMR 2012 (0=NO/1=YES)"
"7","NN.INHH","NN_INHH: # R's responding in hhold"
"8","NANYFINR","NANYFINR: Any FinResp in HHold (>0=yes)"
"9","NFIN.RHP","NFIN_RHP: HHIDPN of Financial Resp"
"10","NNOFINR","NNOFINR: Flags HHs w/no fin data(0=some)"
"11","NANYFAMR","NANYFAMR: Any FamResp in HHold"
"12","NFAM.RHP","NFAM_RHP: HHIDPN of Family Resp"
"13","NNOFAMR","NNOFAMR: Flags HHs w/no fam data(0=some)"
"14","OVHHIDC","HRS-AHEAD Overlap: Old HRS HHID (Char6)"
"15","OVPNC","HRS-AHEAD Overlap: Old HRS PN (Char3)"
"16","OVRESULT","OVERLAP CASE: RESULT CODE"
"17","CAMS01","2001 CAMS SAMPLE STATUS"
"18","CAMS03","2003 CAMS SAMPLE STATUS"
"19","CAMS05","2005 CAMS SAMPLE STATUS"
"20","DIAB03","2003 DIABETES SAMPLE STATUS"
"21","DISAB04","SAMPLE INDICATOR FOR DISABILITY QNAIRE"
"22","INTRNT03","2003 INTERNET SURVEY SAMPLE STATUS"
"23","MAIL99","1999 MAILOUT PILOT SURVEY STATUS"
"24","PDS05","2005 PDS SAMPLE STATUS"
"25","PHYMSR04","SAMPLE INDICATOR FOR PHYSICAL MEASURES"
"26","PSYSOC04","SAMPLE INDICATOR FOR PSYCSOCIAL QNAIRE 2004"
"27","OVHHPNC","HRS-AHEAD Overlap:Old HRS HHIDPN (Char9)"
"28","OVHHID","HRS-AHEAD Overlap: Old HRS HHID (Num)"
"29","OVHHIDPN","HRS-AHEAD Overlap: Old HRS HHIDPN (Num)"
"30","OVPN","HRS-AHEAD Overlap: Old HRS PN (Num)"
"31","NPPNT",NA
"32","NPNHM","HRS 12: =1 if Sp/P in nursing home"
"33","NMARSTD","NMARSTD: derived marital status w/o partners"
"34","NMARSTF","HRS 12: NMARST Flag (discrepancies)"
"35","NMARSTA","HRS 12: Alt. NMARST (derived MARST)"
"36","NMARSTP","HRS 12: Marital Status (w/ partnered)"
"37","NPARTNR","HRS 12: =1 if R is partnered"
"38","N.CPL","HRS 12: =1 if R is partnered/married"
"39","NNHM","HRS 12: =1 if R in nursing home"
"40","NHASNEWP","HRS 12: =1 if has new spouse/partner"
"41","NPHHIDPN","HRS 12: HHIDPN of spouse/partner"
"42","NCSRF","2012 WHETHER COVERSHEET RESPONDENT"
"43","NANYCSR","NANYCSR: Any CovSheetResp in HHold"
"44","NCS.RHP","NCS_RHP: HHIDPN of CovSheet Resp"
"45","NNOCSR","NNOCSR: Flags HHs w/no cs data(0=some)"
"46","NXMOD.EH","NXMOD_EH: No data in Module E_H (fam)"
"47","NXMOD.HH","NXMOD_HH: No data in Module H_H (fin)"
"48","NXMOD.QH","NXMOD_QH: No data in Module Q_H (fin)"
"49","NXMOD.RH","NXMOD_RH: No data in Module R_H (fin)"
"50","NXMOD.AH","NXMOD_AH: No data in Module A_H (cs)"
"51","N.HHTYP","HRS12: Household type (1R or 2R)    label"
"52","NR.INHH","HRS12: # potential R in hhold"
"53","NPROXYD","HRS12: Proxy flag (derived)"
"54","NPROXYR","HRS12 Proxy: Relationship to R"
"55","NPRVIW","HRS12: Previous Interview (A-H)"
"56","NPRVIWMO","Month of Previous Interview"
"57","NPRVIWYR","Year of Previous Interview"
"58","v.BIRTHYR","HRS12: prev value BIRTHYR if changed"
"59","v.GENDER","HRS12: prev value GENDER if changed"
"60","HISPAN01","HRS12: Whether Hispanic (0=no,1=yes)"
