"","name","label"
"1","hhidpn","hhid + pn (numeric)"
"2","birthyf","hrs10: birthyf-flag birth yr discrepancy"
"3","birthyd","hrs10: birthyd-max birth yr discrepancy"
"4","mcsr01","mcsr01:whether csr 2010(0=no/1=yes)"
"5","mn.inhh","mn_inhh: # r's responding in hhold"
"6","manyfinr","manyfinr: any finresp in hhold (>0=yes)"
"7","mfin.rhp","mfin_rhp: hhidpn of financial resp"
"8","mfinr01","mfinr01:whether finr 2010(0=no/1=yes)"
"9","mnofinr","mnofinr: flags hhs w/no fin data(0=some)"
"10","manyfamr","manyfamr: any famresp in hhold"
"11","mfam.rhp","mfam_rhp: hhidpn of family resp"
"12","mfamr01","mfamr01:whether famr 2010(0=no/1=yes)"
"13","mnofamr","mnofamr: flags hhs w/no fam data(0=some)"
"14","birthmo","birthdate: month"
"15","birthyr","birthdate: year"
"16","degree","highest degree of education"
"17","firstiw","first interview: study year"
"18","gender",NA
"19","hispanic","hispanicity type"
"20","immgyear","year immigrated to the u.s."
"21","nmonth","ndi month of death"
"22","nscore","ndi match score"
"23","nyear","ndi year of death"
"24","ovhhidc","hrs-ahead overlap: old hrs hhid (char6)"
"25","ovpnc","hrs-ahead overlap: old hrs pn (char3)"
"26","ovresult","overlap case: result code"
"27","race","race/ethnicity"
"28","schlyrs","number of years in school"
"29","secu","sampling error computation unit"
"30","stratum","stratum id"
"31","study","study membership"
"32","usborn","born in the u.s."
"33","wtcohort","birth cohort used for creating weights"
"34","adams1","adams1 sample status"
"35","cams01","2001 cams sample status"
"36","cams03","2003 cams sample status"
"37","cams05","2005 cams sample status"
"38","diab03","2003 diabetes sample status"
"39","disab04","sample indicator for disability qnaire"
"40","hums01","2001 human capital mail survey status"
"41","intrnt03","2003 internet survey sample status"
"42","mail99","1999 mailout pilot survey status"
"43","pds05","2005 pds sample status"
"44","phymsr04","sample indicator for physical measures"
"45","psysoc04","sample indicator for psycsocial qnaire 2004"
"46","apenflag","hrs pension data flag in 1992"
"47","dndiflag","ndi 1995 alive or deceased flag"
"48","fpenflag","hrs pension data flag in 1998"
"49","gndiflag","ndi 2000 alive or decease flag"
"50","hndiflag","ndi 2002 alive or decease flag"
"51","jndiflag","ndi 2004 alive or decease flag"
"52","jpenflag","hrs pension data flag in 2004"
"53","mcores","2010 co-residence status"
"54","miwlang","2010 interview language"
"55","miwmode","2010 interview mode"
"56","miwmonth","2010 interview month"
"57","miwyear","2010 interview year"
"58","mmarst","mmarst: 2010 marital status /from trk2010"
"59","mnurshm","2010 nursing home status"
"60","mppn","2010 spouse-partner person number"
"61","mproxy","2010 proxy type status"
"62","msubhhiw","2010 whether subhh interviewed"
"63","mwgthh","2010 weight: household level"
"64","mwgtr","2010 weight: respondent level"
"65","mwhy0hwt","2010 why zero household level weight"
"66","mwhy0rwt","2010 why zero respondent level weight"
"67","ovhhpnc","hrs-ahead overlap:old hrs hhidpn (char9)"
"68","ovhhid","hrs-ahead overlap: old hrs hhid (num)"
"69","ovhhidpn","hrs-ahead overlap: old hrs hhidpn (num)"
"70","ovpn","hrs-ahead overlap: old hrs pn (num)"
"71","mppnt",NA
"72","mpnhm","hrs 10: =1 if sp/p in nursing home"
"73","mmarstd","mmarstd: derived marital status w/o partners"
"74","mmarstf","hrs 10: mmarst flag (discrepancies)"
"75","mmarsta","hrs 10: alt. mmarst (derived marst)"
"76","mmarstp","hrs 10: marital status (w/ partnered)"
"77","mpartnr","hrs 10: =1 if r is partnered"
"78","m.cpl","hrs 10: =1 if r is partnered/married"
"79","mnhm","hrs 10: =1 if r in nursing home"
"80","mhasnewp","hrs 10: =1 if has new spouse/partner"
"81","mphhidpn","hrs 10: hhidpn of spouse/partner"
"82","mcsrf","2010 whether coversheet respondent"
"83","manycsr","manycsr: any covsheetresp in hhold"
"84","mcs.rhp","mcs_rhp: hhidpn of covsheet resp"
"85","mnocsr","mnocsr: flags hhs w/no cs data(0=some)"
"86","mxmod.eh","mxmod_eh: no data in module e_h (fam)"
"87","mxmod.hh","mxmod_hh: no data in module h_h (fin)"
"88","mxmod.qh","mxmod_qh: no data in module q_h (fin)"
"89","mxmod.rh","mxmod_rh: no data in module r_h (fin)"
