"","name","label"
"1","hhidpn","hhid + pn (numeric)"
"2","birthyf","hrs12: birthyf-flag birth yr discrepancy"
"3","birthyd","hrs12: birthyd-max birth yr discrepancy"
"4","ncsr01","ncsr01:whether csr 2010(0=no/1=yes)"
"5","nfinr01","nfinr01:whether finr 2010(0=no/1=yes)"
"6","nfamr01","nfamr01:whether famr 2010(0=no/1=yes)"
"7","nn.inhh","nn_inhh: # r's responding in hhold"
"8","nanyfinr","nanyfinr: any finresp in hhold (>0=yes)"
"9","nfin.rhp","nfin_rhp: hhidpn of financial resp"
"10","nnofinr","nnofinr: flags hhs w/no fin data(0=some)"
"11","nanyfamr","nanyfamr: any famresp in hhold"
"12","nfam.rhp","nfam_rhp: hhidpn of family resp"
"13","nnofamr","nnofamr: flags hhs w/no fam data(0=some)"
"14","birthmo","birthdate: month"
"15","birthyr","birthdate: year"
"16","degree","highest degree of education"
"17","firstiw","first interview: study year"
"18","gender",NA
"19","hispanic","hispanicity type"
"20","immgyear","year immigrated to the u.s."
"21","nmonth","ndi month of death"
"22","nscore","ndi match score"
"23","nyear","ndi year of death"
"24","ovhhidc","hrs-ahead overlap: old hrs hhid (char6)"
"25","ovpnc","hrs-ahead overlap: old hrs pn (char3)"
"26","ovresult","overlap case: result code"
"27","race","race/ethnicity"
"28","schlyrs","number of years in school"
"29","secu","sampling error computation unit"
"30","stratum","stratum id"
"31","study","study membership"
"32","usborn","born in the u.s."
"33","wtcohort","birth cohort used for creating weights"
"34","adams1","adams1 sample status"
"35","cams01","2001 cams sample status"
"36","cams03","2003 cams sample status"
"37","cams05","2005 cams sample status"
"38","diab03","2003 diabetes sample status"
"39","disab04","sample indicator for disability qnaire"
"40","hums01","2001 human capital mail survey status"
"41","intrnt03","2003 internet survey sample status"
"42","mail99","1999 mailout pilot survey status"
"43","pds05","2005 pds sample status"
"44","phymsr04","sample indicator for physical measures"
"45","psysoc04","sample indicator for psycsocial qnaire 2004"
"46","apenflag","hrs pension data flag in 1992"
"47","dndiflag","ndi 1995 alive or deceased flag"
"48","fpenflag","hrs pension data flag in 1998"
"49","gndiflag","ndi 2000 alive or decease flag"
"50","hndiflag","ndi 2002 alive or decease flag"
"51","jndiflag","ndi 2004 alive or decease flag"
"52","jpenflag","hrs pension data flag in 2004"
"53","niwlang","2012 interview language"
"54","niwmode","2012 interview mode"
"55","niwmonth","2012 interview month"
"56","niwyear","2012 interview year"
"57","nmarst","nmarst: 2010 marital status /from trk2010"
"58","nnurshm","2012 nursing home status"
"59","nppn","2012 spouse-partner person number"
"60","nproxy","2012 proxy type status"
"61","nsubhhiw","2012 whether subhh interviewed"
"62","nwgthh","2012 weight: household level"
"63","nwgtr","2012 weight: respondent level"
"64","nwhy0hwt","2012 why zero household level weight"
"65","nwhy0rwt","2012 why zero respondent level weight"
"66","ovhhpnc","hrs-ahead overlap:old hrs hhidpn (char9)"
"67","ovhhid","hrs-ahead overlap: old hrs hhid (num)"
"68","ovhhidpn","hrs-ahead overlap: old hrs hhidpn (num)"
"69","ovpn","hrs-ahead overlap: old hrs pn (num)"
"70","nppnt",NA
"71","npnhm","hrs 12: =1 if sp/p in nursing home"
"72","nmarstd","nmarstd: derived marital status w/o partners"
"73","nmarstf","hrs 12: nmarst flag (discrepancies)"
"74","nmarsta","hrs 12: alt. nmarst (derived marst)"
"75","nmarstp","hrs 12: marital status (w/ partnered)"
"76","npartnr","hrs 12: =1 if r is partnered"
"77","n.cpl","hrs 12: =1 if r is partnered/married"
"78","nnhm","hrs 12: =1 if r in nursing home"
"79","nhasnewp","hrs 12: =1 if has new spouse/partner"
"80","nphhidpn","hrs 12: hhidpn of spouse/partner"
"81","ncsrf","2012 whether coversheet respondent"
"82","nanycsr","nanycsr: any covsheetresp in hhold"
"83","ncs.rhp","ncs_rhp: hhidpn of covsheet resp"
"84","nnocsr","nnocsr: flags hhs w/no cs data(0=some)"
