year,old_name,new_name,reversed,note
2004.0,jlb505a,lifesatisfaction_1,NA,NA
2004.0,jlb505b ,lifesatisfaction_2,NA,NA
2004.0,jlb505c,lifesatisfaction_3,NA,NA
2004.0,jlb505d,lifesatisfaction_4,NA,NA
2004.0,jlb505e,lifesatisfaction_5,NA,NA
2006.0,klb003a,lifesatisfaction_1,NA,NA
2006.0,klb003b,lifesatisfaction_2,NA,NA
2006.0,klb003c,lifesatisfaction_3,NA,NA
2006.0,klb003d,lifesatisfaction_4,NA,NA
2006.0,klb003e,lifesatisfaction_5,NA,NA
2008.0,llb003a,lifesatisfaction_1,NA,NA
2008.0,llb003b,lifesatisfaction_2,NA,NA
2008.0,llb003c,lifesatisfaction_3,NA,NA
2008.0,llb003d,lifesatisfaction_4,NA,NA
2008.0,llb003e,lifesatisfaction_5,NA,NA
2010.0,mlb003a,lifesatisfaction_1,NA,NA
2010.0,mlb003b,lifesatisfaction_2,NA,NA
2010.0,mlb003c,lifesatisfaction_3,NA,NA
2010.0,mlb003d,lifesatisfaction_4,NA,NA
2010.0,mlb003e,lifesatisfaction_5,NA,NA
2012.0,nlb003a,lifesatisfaction_1,NA,NA
2012.0,nlb003b,lifesatisfaction_2,NA,NA
2012.0,nlb003c,lifesatisfaction_3,NA,NA
2012.0,nlb003d,lifesatisfaction_4,NA,NA
2012.0,nlb003e,lifesatisfaction_5,NA,NA
2014.0,olb002a,lifesatisfaction_1,NA,NA
2014.0,olb002b,lifesatisfaction_2,NA,NA
2014.0,olb002c,lifesatisfaction_3,NA,NA
2014.0,olb002d,lifesatisfaction_4,NA,NA
2014.0,olb002e,lifesatisfaction_5,NA,NA
