year,old_name,new_name,reversed
2004.0,jlb507,snspouse,NA
2004.0,jlb510,snchild,NA
2004.0,jlb514,snfamily,NA
2004.0,jlb518,snfriends,NA
2004.0,jlb509,closespouse,NA
2004.0,jlb513,closechild,NA
2004.0,jlb517,closefam,NA
2004.0,jlb521,closefri,NA
2006.0,klb004,snspouse,NA
2006.0,klb007,snchild,NA
2006.0,klb011,snfamily,NA
2006.0,klb015,snfriends,NA
2006.0,klb006,closespouse,NA
2006.0,klb010,closechild,NA
2006.0,klb014,closefam,NA
2006.0,klb018,closefri,NA
2008.0,llb004,snspouse,NA
2008.0,llb007,snchild,NA
2008.0,llb011,snfamily,NA
2008.0,llb015,snfriends,NA
2008.0,llb006,closespouse,NA
2008.0,llb010,closechild,NA
2008.0,llb014,closefam,NA
2008.0,llb018,closefri,NA
2010.0,mlb004,snspouse,NA
2010.0,mlb007,snchild,NA
2010.0,mlb011,snfamily,NA
2010.0,mlb015,snfriends,NA
2010.0,mlb006,closespouse,NA
2010.0,mlb010,closechild,NA
2010.0,mlb014,closefam,NA
2010.0,mlb018,closefri,NA
2012.0,nlb004,snspouse,NA
2012.0,nlb007,snchild,NA
2012.0,nlb011,snfamily,NA
2012.0,nlb015,snfriends,NA
2012.0,nlb006,closespouse,NA
2012.0,nlb010,closechild,NA
2012.0,nlb014,closefam,NA
2012.0,nlb018,closefri,NA
