year,old_name,new_name,reversed,note
2004.0,jd104,listassi,NA,NA
2004.0,jd174,wrectoti,NA,NA
2004.0,jd175,wrecwrongim,NA,NA
2004.0,jd177,wrecnoneim,NA,NA
2004.0,jd184,wrectotd,NA,NA
2004.0,jd185,wrecwrongd,NA,NA
2004.0,jd187,wrecnoned,NA,NA
2006.0,kd104,listassi,NA,NA
2006.0,kd174,wrectoti,NA,NA
2006.0,kd175,wrecwrongim,NA,NA
2006.0,kd177,wrecnoneim,NA,NA
2006.0,kd184,wrectotd,NA,NA
2006.0,kd185,wrecwrongd,NA,NA
2006.0,kd187,wrecnoned,NA,NA
2008.0,ld104,listassi,NA,NA
2008.0,ld174,wrectoti,NA,NA
2008.0,ld175,wrecwrongim,NA,NA
2008.0,ld177,wrecnoneim,NA,NA
2008.0,ld184,wrectotd,NA,NA
2008.0,ld185,wrecwrongd,NA,NA
2008.0,ld187,wrecnoned,NA,NA
2010.0,md104,listassi,NA,NA
2010.0,md174,wrectoti,NA,NA
2010.0,md175,wrecwrongim,NA,NA
2010.0,md177,wrecnoneim,NA,NA
2010.0,md184,wrectotd,NA,NA
2010.0,md185,wrecwrongd,NA,NA
2010.0,md187,wrecnoned,NA,NA
2012.0,nd104,listassi,NA,NA
2012.0,nd174,wrectoti,NA,NA
2012.0,nd175,wrecwrongim,NA,NA
2012.0,nd177,wrecnoneim,NA,NA
2012.0,nd184,wrectotd,NA,NA
2012.0,nd185,wrecwrongd,NA,NA
2012.0,nd187,wrecnoned,NA,NA
2014.0,od104,listassi,NA,NA
2014.0,od174,wrectoti,NA,NA
2014.0,od175,wrecwrongim,NA,NA
2014.0,od177,wrecnoneim,NA,NA
2014.0,od184,wrectotd,NA,NA
2014.0,od185,wrecwrongd,NA,NA
2014.0,od187,wrecnoned,NA,NA
