year,old_name,new_name,reversed,note
2004.0,ja500,interview_mth,NA,NA
2004.0,ja501,interview_yr,NA,NA
2004.0,ja065,nursing_home_mth,NA,NA
2004.0,ja066,nursing_home_yr,NA,NA
2004.0,jb066.1,1st_marriage_mth,NA,NA
2004.0,jb067.1,1st_marriage_yr,NA,NA
2004.0,jb066.2,2nd_marriage_mth,NA,NA
2004.0,jb067.2,2nd_marriage_yr,NA,NA
2004.0,jb066.3,3rd_marriage_mth,NA,NA
2004.0,jb067.3,3rd_marriage_yr,NA,NA
2004.0,jb066.4,4th_marriage_mth,NA,NA
2004.0,jb067.4,4th_marriage_yr,NA,NA
2004.0,jb056,btw_wave_marriage_mth,NA,NA
2004.0,jb057,btw_wave_marriage_yr,NA,NA
2004.0,ja009,proxy_interview,NA,"1 means self interview, 2 means proxy interview with spouse as respondent, 3 is proxy interview non-spouse as respondent, 4 is proxy interview spouse is respondent but the spouses no longer living together"
2004.0,ja011,proxy_ratiing_cognitive,NA,NA
2004.0,ja012,interview_language,NA,"1 is English, 2 is Spanish"
2004.0,ja019,age_at_visit,NA,NA
2004.0,ja028,nursing_home,NA,NA
2004.0,jb002,us_born,NA,NA
2004.0,jb006,arrive_us_year,NA,NA
2004.0,jb020,ses,NA,NA
2004.0,jb050,religion,NA,NA
2004.0,jb082,religious_service,NA,NA
2004.0,jb053,religion_importance,NA,NA
2004.0,jb054,english_household,NA,NA
2004.0,jb065,number_marriages,NA,NA
2004.0,jb063,married,NA,NA
2004.0,gender,male,NA,NA
2004.0,race,race,NA,NA
2004.0,hispanic,hispanic,NA,NA
2004.0,degree,degree,NA,NA
2006.0,ka500,interview_mth,NA,NA
2006.0,ka501,interview_yr,NA,NA
2006.0,ka065,nursing_home_mth,NA,NA
2006.0,ka066,nursing_home_yr,NA,NA
2006.0,kb066.1,1st_marriage_mth,NA,NA
2006.0,kb067.1,1st_marriage_yr,NA,NA
2006.0,kb066.2,2nd_marriage_mth,NA,NA
2006.0,kb067.2,2nd_marriage_yr,NA,NA
2006.0,kb066.3,3rd_marriage_mth,NA,NA
2006.0,kb067.3,3rd_marriage_yr,NA,NA
2006.0,kb066.4,4th_marriage_mth,NA,NA
2006.0,kb067.4,4th_marriage_yr,NA,NA
2006.0,kb056,btw_wave_marriage_mth,NA,NA
2006.0,kb057,btw_wave_marriage_yr,NA,NA
2006.0,ka009,proxy_interview,NA,NA
2006.0,ka011,proxy_ratiing_cognitive,NA,NA
2006.0,ka012,interview_language,NA,NA
2006.0,ka019,age_at_visit,NA,NA
2006.0,ka028,nursing_home,NA,NA
2006.0,kb002,us_born,NA,NA
2006.0,kb006,arrive_us_year,NA,NA
2006.0,kb020,ses,NA,NA
2006.0,kb050,religion,NA,NA
2006.0,kb082,religious_service,NA,NA
2006.0,kb053,religion_importance,NA,NA
2006.0,kb054,english_household,NA,NA
2006.0,kb065,number_marriages,NA,NA
2006.0,kb063,married,NA,NA
2006.0,gender,male,NA,NA
2006.0,race,race,NA,NA
2006.0,hispanic,hispanic,NA,NA
2006.0,degree,degree,NA,NA
2008.0,la500,interview_mth,NA,NA
2008.0,la501,interview_yr,NA,NA
2008.0,la065,nursing_home_mth,NA,NA
2008.0,la066,nursing_home_yr,NA,NA
2008.0,lb066.1,1st_marriage_mth,NA,NA
2008.0,lb067.1,1st_marriage_yr,NA,NA
2008.0,lb066.2,2nd_marriage_mth,NA,NA
2008.0,lb067.2,2nd_marriage_yr,NA,NA
