year,old_name,new_name,reversed,note
2004,rabyear,birthyr_rand,NA,NA
2004,rabmonth,birthmo_rand,NA,NA
2004,radyear,deathyr,NA,NA
2004,radmonth,deathmo,NA,NA
2004,racohbyr,cohort,NA,NA
2004,raedyrs,raedyrs,NA,NA
2004,raedegrm,raedegrm,NA,NA
2004,raeduc,raeduc,NA,NA
2004,raracem,race_rand,NA,NA
2004,rahispan,hispanic_rand,NA,NA
2004,ragender,male,NA,NA
2004,inw7,responded,NA,NA
2006,inw8,responded,NA,NA
2008,inw9,responded,NA,NA
2010,inw10,responded,NA,NA
2012,inw11,responded,NA,NA
2014,inw12,responded,NA,NA
2004,r7proxy,proxy,NA,NA
2006,r8proxy,proxy,NA,NA
2008,r9proxy,proxy,NA,NA
2010,r10proxy,proxy,NA,NA
2012,r11proxy,proxy,NA,NA
2014,r12proxy,proxy,NA,NA
2004,r7iwend,intdate_rand,NA,NA
2006,r8iwend,intdate_rand,NA,NA
2008,r9iwend,intdate_rand,NA,NA
2010,r10iwend,intdate_rand,NA,NA
2012,r11iwend,intdate_rand,NA,NA
2014,r12iwend,intdate_rand,NA,NA
2004,r7ser7,serial7r_tot,NA,NA
2006,r8ser7,serial7r_tot,NA,NA
2008,r9ser7,serial7r_tot,NA,NA
2010,r10ser7,serial7r_tot,NA,NA
2012,r11ser7,serial7r_tot,NA,NA
2004,r7fser7,serial7rflag,NA,NA
2006,r8fser7,serial7rflag,NA,NA
2008,r9fser7,serial7rflag,NA,NA
2010,r10fser7,serial7rflag,NA,NA
2012,r11fser7,serial7rflag,NA,NA
2004,r7bwc20,countb20r,NA,NA
2006,r8bwc20,countb20r,NA,NA
2008,r9bwc20,countb20r,NA,NA
2010,r10bwc20,countb20r,NA,NA
2012,r11bwc20,countb20r,NA,NA
2004,r7agey_e,intage_r,NA,NA
2006,r8agey_e,intage_r,NA,NA
2008,r9agey_e,intage_r,NA,NA
2010,r10agey_e,intage_r,NA,NA
2012,r11agey_e,intage_r,NA,NA
2014,r12agey_e,intage_r,NA,NA
2004,s7hhidpn,shhidpnr,NA,NA
2006,s8hhidpn,shhidpnr,NA,NA
2008,s9hhidpn,shhidpnr,NA,NA
2010,s10hhidpn,shhidpnr,NA,NA
2012,s11hhidpn,shhidpnr,NA,NA
2014,s12hhidpn,shhidpnr,NA,NA
2004,r7mstat,rmaritalst,NA,NA
2006,r8mstat,rmaritalst,NA,NA
2008,r9mstat,rmaritalst,NA,NA
2010,r10mstat,rmaritalst,NA,NA
2012,r11mstat,rmaritalst,NA,NA
2014,r12mstat,rmaritalst,NA,NA
2004,r7mpart,rpartst,NA,NA
2006,r8mpart,rpartst,NA,NA
2008,r9mpart,rpartst,NA,NA
2010,r10mpart,rpartst,NA,NA
2012,r11mpart,rpartst,NA,NA
2014,r12mpart,rpartst,NA,NA
