year,old_name,new_name,reversed,note
2004,jd104,listassi,NA,NA
2004,jd174,wrectoti,NA,NA
2004,jd175,wrecwrongim,NA,NA
2004,jd177,wrecnoneim,NA,NA
2004,jd184,wrectotd,NA,NA
2004,jd185,wrecwrongd,NA,NA
2004,jd187,wrecnoned,NA,NA
2006,kd104,listassi,NA,NA
2006,kd174,wrectoti,NA,NA
2006,kd175,wrecwrongim,NA,NA
2006,kd177,wrecnoneim,NA,NA
2006,kd184,wrectotd,NA,NA
2006,kd185,wrecwrongd,NA,NA
2006,kd187,wrecnoned,NA,NA
2008,ld104,listassi,NA,NA
2008,ld174,wrectoti,NA,NA
2008,ld175,wrecwrongim,NA,NA
2008,ld177,wrecnoneim,NA,NA
2008,ld184,wrectotd,NA,NA
2008,ld185,wrecwrongd,NA,NA
2008,ld187,wrecnoned,NA,NA
2010,md104,listassi,NA,NA
2010,md174,wrectoti,NA,NA
2010,md175,wrecwrongim,NA,NA
2010,md177,wrecnoneim,NA,NA
2010,md184,wrectotd,NA,NA
2010,md185,wrecwrongd,NA,NA
2010,md187,wrecnoned,NA,NA
2012,nd104,listassi,NA,NA
2012,nd174,wrectoti,NA,NA
2012,nd175,wrecwrongim,NA,NA
2012,nd177,wrecnoneim,NA,NA
2012,nd184,wrectotd,NA,NA
2012,nd185,wrecwrongd,NA,NA
2012,nd187,wrecnoned,NA,NA
2014,od104,listassi,NA,NA
2014,od174,wrectoti,NA,NA
2014,od175,wrecwrongim,NA,NA
2014,od177,wrecnoneim,NA,NA
2014,od184,wrectotd,NA,NA
2014,od185,wrecwrongd,NA,NA
2014,od187,wrecnoned,NA,NA
